
          mph       hp        rpm/mph
          28.40     N/A       182.32    
          28.35     N/A       185.08    
          28.30     -1.03     188.26    
          28.35     3.19      194.15    
          28.40     4.30      192.48    
          28.45     5.08      191.22    
          28.50     5.91      190.25    
          28.55     6.81      189.69    
          28.60     7.73      189.48    
          28.65     8.19      189.45    
          28.70     8.62      189.43    
          28.75     9.01      189.40    
          28.80     9.37      189.34    
          28.85     9.71      189.26    
          28.90     10.00     189.14    
          28.95     10.28     189.00    
          29.00     10.52     188.83    
          29.05     10.75     188.66    
          29.10     10.95     188.51    
          29.15     11.14     188.37    
          29.20     11.32     188.31    
          29.25     11.51     188.26    
          29.30     11.71     188.31    
          29.35     11.93     188.39    
          29.40     12.17     188.55    
          29.45     12.42     188.75    
          29.50     12.71     189.01    
          29.55     13.02     189.28    
          29.60     13.35     189.58    
          29.65     13.66     189.83    
          29.70     13.93     190.05    
          29.75     N/A       N/A       
          29.80     14.49     190.42    
          29.85     14.77     190.59    
          29.90     15.05     190.74    
          29.95     15.33     190.84    
          30.00     N/A       N/A       
          30.05     15.89     191.01    
          30.10     16.16     191.05    
          30.15     N/A       N/A       
          30.20     16.68     191.09    
          30.25     16.94     191.08    
          30.30     17.18     191.07    
          30.35     17.39     191.04    
          30.40     N/A       N/A       
          30.45     17.80     190.98    
          30.50     17.98     190.94    
          30.55     N/A       N/A       
          30.60     18.34     190.88    
          30.65     18.51     190.85    
          30.70     N/A       N/A       
          30.75     18.84     190.79    
          30.80     18.99     190.77    
          30.85     N/A       N/A       
          30.90     N/A       N/A       
          30.95     19.44     190.71    
          31.00     19.57     190.69    
          31.05     N/A       N/A       
          31.10     19.84     190.66    
          31.15     19.96     190.64    
          31.20     N/A       N/A       
          31.25     20.19     190.60    
          31.30     20.29     190.58    
          31.35     N/A       N/A       
          31.40     20.49     190.54    
          31.45     20.58     190.51    
          31.50     N/A       N/A       
          31.55     N/A       N/A       
          31.60     20.82     190.44    
          31.65     20.89     190.42    
          31.70     N/A       N/A       
          31.75     21.02     190.37    
          31.80     21.08     190.36    
          31.85     N/A       N/A       
          31.90     N/A       N/A       
          31.95     21.23     190.32    
          32.00     21.27     190.32    
          32.05     N/A       N/A       
          32.10     21.36     190.32    
          32.15     21.40     190.33    
          32.20     N/A       N/A       
          32.25     21.48     190.35    
          32.30     21.52     190.37    
          32.35     N/A       N/A       
          32.40     N/A       N/A       
          32.45     21.64     190.44    
          32.50     21.68     190.47    
          32.55     N/A       N/A       
          32.60     21.78     190.52    
          32.65     21.83     190.55    
          32.70     N/A       N/A       
          32.75     21.95     190.60    
          32.80     22.01     190.62    
          32.85     N/A       N/A       
          32.90     N/A       N/A       
          32.95     22.23     190.67    
          33.00     22.31     190.69    
          33.05     N/A       N/A       
          33.10     22.47     190.72    
          33.15     22.57     190.73    
